Date,target_10
2020-03-03,-1.6880000000000002
2020-03-07,-3.482
2020-03-10,-7.07
2020-03-17,-7.852
2020-06-09,-12.337
2020-06-15,-15.021999999999998
2020-06-16,-19.506999999999998
2020-06-22,-20.403999999999996
2020-06-23,-16.588999999999995
2020-06-29,-20.176999999999996
2020-06-30,-22.867999999999995
2020-07-06,-17.455999999999996
2020-07-07,-17.243999999999996
2020-07-13,-20.831999999999997
2020-07-14,-14.922999999999998
2020-07-20,-19.407999999999998
2020-07-21,-9.798999999999998
2020-07-27,-11.592999999999998
2020-07-28,-14.283999999999999
2020-08-03,-15.174999999999999
2020-08-04,-18.762999999999998
2020-08-10,-20.557
2020-08-17,-23.247999999999998
2020-08-18,-25.938999999999997
2020-08-24,-20.029999999999998
2020-08-25,-22.720999999999997
2020-08-31,-24.514999999999997
2020-09-01,-28.102999999999998
2020-09-05,-30.793999999999997
2020-09-07,-33.485
