Date,target_10,nb_races
2021-01-01,12.005099999999999,7.0
2021-01-02,4.239499999999999,15.0
2021-01-03,-3.5261000000000013,23.0
2021-01-06,-7.521000000000003,30.0
2021-01-07,9.654799999999996,36.0
2021-01-08,6.742699999999996,39.0
2021-01-09,28.865,50.0
2021-01-10,23.040799999999997,56.0
2021-01-13,19.157999999999998,60.0
2021-01-14,11.392399999999999,68.0
2021-01-15,14.168199999999997,74.0
2021-01-16,15.331899999999997,83.0
2021-01-17,9.507699999999996,89.0
2021-01-20,3.683499999999996,95.0
2021-01-21,-2.1407000000000043,101.0
2021-01-22,-8.935600000000004,108.0
2021-01-23,-2.413300000000004,119.0
2021-01-24,-7.978900000000004,127.0
2021-01-27,-10.673800000000004,134.0
2021-01-28,-14.556600000000003,138.0
2021-01-29,-17.222200000000004,146.0
2021-01-30,-12.399900000000002,157.0
2021-01-31,-9.936200000000003,166.0
2021-02-03,-13.819000000000003,170.0
2021-02-04,-12.972500000000002,175.0
2021-02-05,-19.767400000000002,182.0
2021-02-06,-19.133000000000003,190.0
2021-02-07,-21.786500000000004,195.0
2021-02-10,-22.681400000000004,202.0
2021-02-11,-27.534900000000004,207.0
2021-02-12,-34.329800000000006,214.0
2021-02-13,-33.95400000000001,220.0
2021-02-14,-37.04890000000001,227.0
2021-02-17,-29.03170000000001,231.0
2021-02-18,-35.82660000000001,238.0
2021-02-19,-40.192200000000014,246.0
2021-02-20,-42.85780000000001,254.0
2021-02-21,-49.65270000000001,261.0
2021-02-24,-49.64760000000001,268.0
2021-02-25,-49.11320000000001,276.0
2021-02-26,-52.996000000000016,280.0
2021-02-27,-63.67370000000002,291.0
2021-02-28,-55.21000000000002,300.0
2021-03-03,-61.03420000000002,306.0
2021-03-04,-60.85840000000002,312.0
2021-03-05,-59.01190000000002,317.0
2021-03-06,-58.494700000000016,321.0
2021-03-07,-65.28960000000002,328.0
2021-03-10,-66.44310000000002,333.0
2021-03-11,-73.23800000000001,340.0
2021-03-12,-63.46220000000002,346.0
2021-03-13,-71.22780000000002,354.0
2021-03-14,-75.11060000000002,358.0
2021-03-17,-68.13480000000001,364.0
2021-03-18,-68.61760000000001,368.0
2021-03-19,-67.87110000000001,373.0
2021-03-20,-75.63670000000002,381.0
2021-03-21,-60.13160000000002,388.0
2021-03-24,-57.05580000000002,394.0
2021-03-25,-39.809300000000015,399.0
2021-03-26,-45.63350000000001,405.0
2021-03-27,-54.36980000000001,414.0
2021-03-28,-49.652600000000014,418.0
2021-04-01,-49.37680000000002,424.0
2021-04-02,-51.31820000000002,426.0
2021-04-03,-52.983800000000016,434.0
2021-04-04,-48.26660000000002,438.0
2021-04-08,-51.590800000000016,444.0
2021-04-09,-57.41500000000001,450.0
2021-04-10,-62.380600000000015,458.0
2021-04-11,-57.79270000000002,461.0
