Date,target_10,nb_races
2021-01-01,3.0595,1.0
2021-01-02,-3.524,8.0
2021-01-03,-8.2265,13.0
2021-01-06,-4.1884999999999994,17.0
2021-01-08,49.4495,21.0
2021-01-09,49.2065,27.0
2021-01-10,44.504,32.0
2021-01-13,38.861,38.0
2021-01-15,34.1585,43.0
2021-01-16,26.634499999999996,51.0
2021-01-17,27.931999999999995,56.0
2021-01-20,38.68899999999999,62.0
2021-01-22,33.98649999999999,67.0
2021-01-23,49.424499999999995,71.0
2021-01-24,43.781499999999994,77.0
2021-01-27,37.19799999999999,84.0
2021-01-29,33.43599999999999,88.0
2021-01-30,33.052499999999995,95.0
2021-01-31,30.549999999999997,100.0
2021-02-03,26.787999999999997,104.0
2021-02-05,22.085499999999996,109.0
2021-02-06,17.361499999999996,117.0
2021-02-07,13.418499999999996,123.0
2021-02-10,7.7754999999999965,129.0
2021-02-12,5.291999999999996,136.0
2021-02-13,15.308499999999993,143.0
2021-02-14,11.546499999999993,147.0
2021-02-17,13.584499999999993,151.0
2021-02-19,18.141499999999994,157.0
2021-02-20,25.879499999999993,161.0
2021-02-21,37.23649999999999,167.0
2021-02-24,31.59349999999999,173.0
2021-02-26,25.95049999999999,179.0
2021-02-27,19.36699999999999,186.0
2021-02-28,13.72399999999999,192.0
2021-03-03,22.421499999999988,197.0
2021-03-05,19.599999999999987,200.0
2021-03-06,18.27599999999999,208.0
2021-03-07,13.573499999999989,213.0
2021-03-10,9.811499999999988,217.0
2021-03-12,27.187499999999986,225.0
2021-03-13,21.522999999999985,234.0
2021-03-14,33.579999999999984,240.0
2021-03-17,29.496499999999983,247.0
2021-03-19,22.912999999999982,254.0
2021-03-20,30.891499999999983,257.0
2021-03-21,26.188999999999982,262.0
2021-03-24,39.20549999999999,269.0
2021-03-26,32.621999999999986,276.0
2021-03-27,27.919499999999985,281.0
2021-03-28,45.73599999999998,288.0
2021-03-31,40.09299999999998,294.0
2021-04-02,36.33099999999998,298.0
2021-04-03,44.928499999999985,303.0
2021-04-07,47.86649999999999,307.0
2021-04-09,42.22349999999999,313.0
2021-04-10,47.639999999999986,320.0
2021-04-14,53.496999999999986,326.0
