Date,target_10,nb_races
2021-01-01,-2.6811,3.0
2021-01-02,-4.4685,5.0
2021-01-06,-2.6558999999999995,7.0
2021-01-07,-0.6369999999999991,10.0
2021-01-08,-2.424399999999999,12.0
2021-01-14,-3.599199999999999,16.0
2021-01-15,-3.6802999999999986,19.0
2021-01-16,-3.7613999999999983,22.0
2021-01-21,-1.955099999999998,23.0
2021-01-22,-2.848799999999998,24.0
2021-01-28,-3.829899999999998,27.0
2021-01-29,1.7953000000000015,31.0
2021-02-04,-1.7794999999999983,35.0
2021-02-05,-5.3542999999999985,39.0
2021-02-06,-8.929099999999998,43.0
2021-02-24,-10.716499999999998,45.0
2021-02-25,-11.610199999999999,46.0
2021-02-26,1.8087000000000018,49.0
2021-02-27,4.321300000000002,51.0
2021-03-03,3.4276000000000018,52.0
2021-03-04,2.6465000000000014,55.0
2021-03-05,-0.03459999999999841,58.0
2021-03-06,0.5780000000000015,60.0
2021-03-10,3.2906000000000017,62.0
2021-03-11,3.0284000000000013,68.0
2021-03-12,7.747300000000002,71.0
2021-03-13,5.066200000000002,74.0
2021-03-17,4.885100000000002,77.0
2021-03-18,3.0977000000000023,79.0
2021-03-19,5.910300000000002,81.0
2021-03-20,11.935500000000001,85.0
2021-03-24,9.2544,88.0
2021-03-25,11.167000000000002,90.0
2021-03-26,12.492200000000002,94.0
2021-03-27,20.211100000000002,97.0
