Date,target_10,nb_races
2021-01-08,-1.8174,2.0
2021-01-13,2.2390999999999996,7.0
2021-01-15,-3.2131,13.0
2021-01-20,-3.4478999999999997,17.0
2021-01-22,-5.4826999999999995,21.0
2021-01-27,-6.408799999999999,24.0
2021-01-29,-5.7261999999999995,26.0
2021-02-03,-2.478399999999998,32.0
2021-02-05,3.078100000000002,37.0
2021-02-10,15.034600000000005,42.0
2021-02-12,19.191100000000006,47.0
2021-02-17,16.465000000000007,50.0
2021-02-24,18.21280000000001,56.0
2021-02-26,11.851900000000008,63.0
2021-03-03,15.608400000000008,68.0
2021-03-05,11.064900000000009,73.0
2021-03-10,5.804000000000009,80.0
2021-03-12,11.669200000000009,84.0
2021-03-17,11.117000000000008,90.0
2021-03-19,8.39090000000001,93.0
2021-03-24,3.8474000000000093,98.0
2021-03-26,-0.6960999999999906,103.0
2021-03-31,1.8604000000000105,108.0
2021-04-02,0.8995000000000108,115.0
2021-04-07,-2.735299999999989,119.0
2021-04-09,-6.370099999999988,123.0
2021-04-14,-7.022299999999989,129.0
